scenario,strategy,seed,episode_reward,episode_steps,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
both_int3,ppo_v4,42,157.0950357966337,600,600,766.2760178948384,625.8926050922353,179.99688813519276,179.13264095783396,57.61333333333334,176.7430001628686,176.74300016286864,69,0.7372384937238494,0.17824267782426778,0.5589958158995816,1.0,0.6830573152649982,0.99625,0.6583387903574827,0.8384593328723584,0.2297418264653488,13.686940966010733,20.0,20.0
both_int3,ppo_v4,43,147.11487321643057,600,600,759.8008368706072,611.1635699233896,179.70621209672242,178.89084344179903,58.07,176.2353139656884,176.2353139656884,60,0.7420796100731113,0.19618196588139725,0.545897644191714,1.0,0.7034012364552379,0.9985416666666667,0.664307163557523,0.8176365667672412,0.23350803207371887,13.876521739130435,20.0,20.0
both_int3,ppo_v4,44,150.7742131335357,600,600,764.4133077715236,619.9423068469308,181.13669609421476,180.25969229450132,57.60333333333333,175.72147427617563,175.72147427617566,61,0.7376644736842105,0.18832236842105263,0.5493421052631579,1.0,0.6650674887384468,0.9989583333333333,0.6643876845851622,0.8291814522375589,0.2573358363604283,13.495667244367418,20.0,20.0
both_int3,ppo_v4,45,158.13911281468782,600,600,787.1612102454801,638.6411930888119,181.65961541324214,180.55435083095065,57.58833333333333,174.96004954539862,174.96004954539856,61,0.7413793103448276,0.18883415435139572,0.5525451559934319,1.0,0.67223779213828,0.9985416666666667,0.655978573113762,0.8280117756912702,0.2544765087153993,13.196836555360282,20.0,20.0
both_int3,ppo_v4,46,158.3428663528482,600,600,752.7792334683929,612.8527356767623,181.78361886171658,181.111675760037,56.71,178.00984041708395,178.009840417084,58,0.7442159383033419,0.17823479005998286,0.565981148243359,1.0,0.70433113594787,0.9985416666666667,0.6511207044893804,0.8251479517568512,0.23297768416865133,14.196660482374767,20.0,20.0
both_int3,ppo_v4,47,147.37827089485205,600,600,776.7866375396233,634.4754880177769,181.911492775418,181.01484072146374,58.32,178.87104525307979,178.87104525307984,62,0.7573099415204678,0.18421052631578946,0.5730994152046783,1.0,0.7232012110718143,0.9995833333333334,0.6524089008299728,0.8179443458123814,0.20387726346330984,14.263969171483623,20.0,20.0
both_int3,ppo_v4,48,141.4044296153026,600,600,786.1313096884865,643.8203340244046,182.15273635787193,181.51856513207613,58.68666666666667,181.3356999641129,181.33569996411296,53,0.7600989282769992,0.19167353668590273,0.5684253915910965,1.0,0.7534230657944395,0.9975,0.646651224295234,0.8267708839575557,0.22616017117057377,14.217391304347826,20.0,20.0
both_int3,ppo_v4,49,154.694647045437,600,600,743.3465389769656,607.8837262992784,181.32001043489353,180.48412432324884,58.14333333333333,183.89794867117976,183.8979486711798,61,0.7408637873754153,0.18230897009966776,0.5585548172757475,1.0,0.6654197291932662,0.99875,0.6579155284137447,0.8368122455905483,0.2527687758729226,14.019538188277087,20.0,20.0
both_int3,ppo_v4,50,131.51258935707222,600,600,778.7999490711376,635.1354846127035,176.85638737312308,175.94891515956198,57.88166666666667,186.0926750306864,186.09267503068634,54,0.7577128753599341,0.19991772932949403,0.5577951460304401,1.0,0.6161264278159329,0.9983333333333333,0.6702681552239161,0.8186080531336337,0.23087884415022306,14.157009345794393,20.0,20.0
both_int3,ppo_v4,51,145.02466754324954,600,600,770.4303003527792,609.9954416970305,180.43443848936133,179.8292126662646,57.75833333333333,184.63149457709628,184.63149457709628,54,0.7519475194751948,0.2000820008200082,0.5518655186551865,1.0,0.5890870761416194,0.9989583333333333,0.6518989278264263,0.8205388589241409,0.2374401438818711,14.045372050816697,20.0,20.0
both_int6,ppo_v4,42,10.524385615025118,600,600,766.2760178948384,617.7805295446498,138.28276938653545,137.8936399594982,58.916666666666664,134.5611347749507,134.5611347749507,70,0.7899581589958159,0.18577405857740587,0.6041841004184101,1.0,0.6792231833953775,0.99625,0.6568630182055436,0.8309817927640407,0.18052280514533345,14.208333333333334,20.0,20.0
both_int6,ppo_v4,43,4.847256062218438,600,600,759.8008368706072,606.4455500716485,138.81666660921223,138.4969364783262,59.245,136.17940215029685,136.17940215029688,60,0.7855402112103981,0.20552396425670186,0.5800162469536961,1.0,0.7071849411810951,0.9985416666666667,0.659302205089377,0.8053450370396669,0.18982358688395248,14.737179487179487,20.0,20.0
both_int6,ppo_v4,44,7.02337155594086,600,600,764.4133077715236,614.106491083321,141.42605465812264,140.86875665144706,58.748333333333335,133.9563109649113,133.95631096491132,60,0.7915296052631579,0.1953125,0.5962171052631579,1.0,0.6868477850933823,0.9989583333333333,0.6429615691994194,0.8212693062916574,0.20163399890963427,13.61744966442953,20.0,20.0
both_int6,ppo_v4,45,14.422500726267938,600,600,787.1612102454801,628.9000459394166,141.13651649198385,140.57168585912828,58.67333333333333,132.84877274291375,132.84877274291378,61,0.791871921182266,0.19663382594417078,0.5952380952380952,1.0,0.6547238785103903,0.9985416666666667,0.6471908879387599,0.8197898592417876,0.20817418327819245,13.309417040358744,20.0,20.0
both_int6,ppo_v4,46,19.51493746588419,600,600,752.7792334683929,610.2578485190013,141.0728286420929,140.71849712748892,57.858333333333334,138.52914915545233,138.5291491554523,60,0.7969151670951157,0.18466152527849186,0.6122536418166238,1.0,0.7196058791659191,0.9985416666666667,0.6443461302446339,0.8186269474713923,0.17722934408489596,14.557971014492754,20.0,20.0
both_int6,ppo_v4,47,7.732539437974739,600,600,776.7866375396233,624.6068106228538,140.9373908315866,140.37310030640572,59.33833333333333,137.9036678623876,137.9036678623876,62,0.8099415204678363,0.18880534670008353,0.6211361737677528,1.0,0.7044395207884535,0.9995833333333334,0.644301276094643,0.8139280878254188,0.16305822804205272,14.246819338422393,20.0,20.0
both_int6,ppo_v4,48,-0.26155105053172256,600,600,786.1313096884865,637.7231914355422,141.3446453875994,140.95082382572906,59.79666666666667,141.77737177893852,141.77737177893854,53,0.8025556471558121,0.19868095630667765,0.6038746908491344,1.0,0.747528534200336,0.9975,0.633460604636506,0.8176472321587529,0.17399771550298587,14.906103286384976,20.0,20.0
both_int6,ppo_v4,49,10.190108621072858,600,600,743.3465389769656,599.0025094581746,139.7773103272006,139.17874273275078,59.26833333333333,144.24655429685993,144.24655429685996,63,0.7911129568106312,0.18853820598006646,0.6025747508305648,1.0,0.6503587886896709,0.99875,0.6547142574025779,0.8328050932712437,0.20385160305511743,14.293181818181818,20.0,20.0
both_int6,ppo_v4,50,-3.1684551644476002,600,600,778.7999490711376,628.0000446796167,137.22430543755888,136.767746418367,59.13333333333333,140.78139773624136,140.78139773624133,56,0.804607157548334,0.20238584944467297,0.602221308103661,1.0,0.6375627836177605,0.9983333333333333,0.6654039296757539,0.8166111846204303,0.18002292624761326,14.341288782816228,20.0,20.0
both_int6,ppo_v4,51,4.041080207794067,600,600,770.4303003527792,606.2310993530916,141.06078110284645,140.65959767275658,58.833333333333336,137.66782254723685,137.6678225472369,52,0.8023780237802378,0.2058220582205822,0.5965559655596556,1.0,0.6219381301929324,0.9989583333333333,0.6423176807580705,0.8150671565935702,0.19283728568725983,14.265116279069767,20.0,20.0
both_q5_t10,ppo_v4,42,133.84081746504827,600,600,766.2760178948384,739.9876866802119,166.070608143397,164.1537953075361,34.575,163.16085759840175,163.16085759840178,39,0.7669456066945607,0.032635983263598324,0.7343096234309623,1.0,0.6534111338676627,0.99625,0.694324843497201,0.9720112544431279,0.20484251592624428,6.77027027027027,10.0,10.0
both_q5_t10,ppo_v4,43,140.13953948152655,600,600,759.8008368706072,727.7513760651235,167.78960792821397,166.1194043168376,35.08,168.26584749821728,168.26584749821725,36,0.7562956945572705,0.04061738424045491,0.7156783103168156,1.0,0.6613109686938742,0.9985416666666667,0.6885961714968002,0.9602951486872691,0.2394697005357929,6.75,10.0,10.0
both_q5_t10,ppo_v4,44,130.0219016436571,600,600,764.4133077715236,740.7937392075797,167.52093856101786,165.616711562301,35.086666666666666,158.0581150988158,158.0581150988158,37,0.7680921052631579,0.03536184210526316,0.7327302631578947,1.0,0.7231706579404621,0.9989583333333333,0.6781518421819327,0.9619596227421436,0.24081845161581739,6.743833017077799,10.0,10.0
both_q5_t10,ppo_v4,45,132.46093469611517,600,600,787.1612102454801,761.9421836704996,167.8673228512868,165.9037424692815,35.208333333333336,180.14562913453705,180.14562913453707,28,0.7742200328407225,0.03201970443349754,0.7422003284072249,1.0,0.6625988513573577,0.9985416666666667,0.6919914224684851,0.9666466824781892,0.24140269397230943,6.509578544061303,10.0,10.0
both_q5_t10,ppo_v4,46,141.3000365303464,600,600,752.7792334683929,730.5764315204146,168.11289861149055,166.27327473566874,33.865,161.49395584450878,161.49395584450878,43,0.7686375321336761,0.027420736932305057,0.7412167952013711,1.0,0.7231773843411079,0.9985416666666667,0.6898496024341945,0.9742102138252443,0.2132463264002895,6.621730382293762,10.0,10.0
both_q5_t10,ppo_v4,47,131.7206365452136,600,600,776.7866375396233,752.1326301896794,167.9948528297846,166.4372313993689,35.083333333333336,168.5623302890051,168.56233028900516,34,0.7928153717627402,0.034252297410192145,0.758563074352548,1.0,0.6188521785824278,0.9995833333333334,0.6725361879383824,0.9677483324412735,0.18625543282848842,6.852813852813853,10.0,10.0
both_q5_t10,ppo_v4,48,126.71489404784231,600,600,786.1313096884865,756.9170528854715,167.21991732206342,165.7036538603481,35.48166666666667,160.31002206516345,160.31002206516342,24,0.7852431986809563,0.03709810387469085,0.7481450948062655,1.0,0.7591162109075172,0.9975,0.6761005229770802,0.9587230925310943,0.19828909061946243,7.022132796780684,10.0,10.0
both_q5_t10,ppo_v4,49,135.88068639713887,600,600,743.3465389769656,712.7337060691603,166.90900412760706,164.9863961053795,34.865,160.83851990096025,160.83851990096025,35,0.771594684385382,0.0340531561461794,0.7375415282392026,1.0,0.6627199295884123,0.99875,0.6866359972745262,0.9712922326545398,0.23669183807421,6.809708737864078,10.0,10.0
both_q5_t10,ppo_v4,50,121.85675454253578,600,600,778.7999490711376,746.5679692274588,166.2402005479466,164.56001483396676,34.89,170.36571297874204,170.36571297874204,31,0.7828054298642534,0.04566022213081036,0.737145207733443,1.0,0.6212133325830387,0.9983333333333333,0.6900704129502921,0.9584789691879858,0.21059906809195245,6.730382293762576,10.0,10.0
both_q5_t10,ppo_v4,51,135.22067908789066,600,600,770.4303003527792,740.1432897731177,167.38904595551676,165.65728586975675,35.358333333333334,181.83106960902,181.83106960902,31,0.7835178351783518,0.03608036080360803,0.7474374743747437,1.0,0.7904492073282332,0.9989583333333333,0.6772028470646867,0.9697166849242078,0.2099248448987112,6.776659959758551,10.0,10.0
