scenario,strategy,seed,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
both_ch64,proportional_fair,46,600,752.7792334683929,620.1398933659151,206.12492637677826,205.96916466030387,57.07833333333333,209.84051391016789,209.84051391016783,58,0.700942587832048,0.16923736075407025,0.5317052270779777,1.0,0.845120459302794,0.9969791666666666,0.8189128284147481,0.8319605491130644,0.27561449005671235,14.9953125,20.0,20.0
both_ch64,proportional_fair,47,600,776.7866375396233,639.8001090765388,205.2217538025349,205.10859592434633,58.83833333333333,206.21177800413997,206.02905338058406,59,0.7247284878863827,0.1758563074352548,0.5488721804511278,1.0,0.7993403922140123,0.99875,0.8177110152007511,0.8244701405022185,0.23596825493734117,15.033333333333333,20.0,20.0
both_ch64,proportional_fair,48,600,786.1313096884865,643.5449359697718,205.0164980164203,204.94550057214954,59.51833333333333,211.99179830638786,211.9917983063879,58,0.7353668590272052,0.18672712283594395,0.5486397361912614,1.0,0.7671734760265563,0.9965104166666666,0.8219970029858845,0.8310314993493109,0.24318035592641887,15.340753424657533,20.0,20.0
both_ch64,proportional_fair,49,600,743.3465389769656,610.4889133463121,204.81156546248226,204.5091602313503,58.62833333333333,206.63236357504638,206.63236357504638,63,0.7105481727574751,0.17815614617940198,0.532392026578073,1.0,0.900846986946554,0.9961979166666667,0.8308220552213876,0.8437127763259944,0.2877335182617813,14.993690851735016,20.0,20.0
both_ch64,proportional_fair,50,600,778.7999490711376,634.6021299449916,204.95697184622853,204.76622621002275,58.59166666666667,213.76760135618,213.76760135618,51,0.7235705470999588,0.19004524886877827,0.5335252982311806,1.0,0.7763889878379194,0.9972395833333333,0.815389837654103,0.828674139955842,0.26516962991477766,15.009661835748792,20.0,20.0
both_ch64,proportional_fair,51,600,770.4303003527792,622.629075909561,205.82534484850828,205.65548736844147,58.42166666666667,205.19049104402345,205.19049104402342,52,0.7199671996719967,0.1918819188191882,0.5280852808528085,1.0,0.7270112118968469,0.9981770833333333,0.8199989516806809,0.830089243334099,0.2731296175247512,14.900158478605388,20.0,20.0
both_ch64,round_robin,42,600,766.2760178948384,617.2365972488722,203.2379526817901,202.49839144957605,56.44833333333333,201.03285092992283,201.0328509299228,68,0.697907949790795,0.17949790794979079,0.5184100418410041,1.0,0.9547402014526806,0.9945833333333334,0.9615367176488118,0.8360876583370405,0.2664676482352577,13.799694189602446,20.0,20.0
both_ch64,round_robin,43,600,759.8008368706072,607.8609074294995,204.57424965680403,203.88477712664456,57.108333333333334,206.25023167241622,206.2502316724162,59,0.7059301380991064,0.19983753046303818,0.5060926076360682,1.0,0.9643777796913187,0.9973958333333334,0.9611403049057176,0.8137271164465144,0.2695505919662601,14.225563909774436,20.0,20.0
both_ch64,round_robin,44,600,764.4133077715236,625.8472485986176,204.70456949622175,203.81265532935998,56.79666666666667,205.69118478513613,205.6911847851361,60,0.7088815789473685,0.18626644736842105,0.5226151315789473,1.0,0.9725920367819696,0.99703125,0.9617049549397934,0.8296324884184941,0.29396027661069396,13.38888888888889,20.0,20.0
both_ch64,round_robin,45,600,787.1612102454801,638.4439436010563,204.59651305194183,203.75906647593908,57.11,201.03285092992283,201.0328509299228,62,0.7085385878489326,0.18760262725779966,0.520935960591133,1.0,0.9547402014526806,0.9971354166666667,0.9608412824113483,0.8297542698379685,0.2905075297685744,13.595679012345679,20.0,20.0
both_ch64,round_robin,46,600,752.7792334683929,612.6397043965287,204.75233810078672,204.1301165257873,55.888333333333335,206.76187898246192,206.76187898246192,58,0.7142245072836333,0.17694944301628107,0.5372750642673522,1.0,0.9696406511281663,0.9969791666666666,0.9626870605363415,0.8246410678439844,0.26798153339991115,14.078817733990148,20.0,20.0
both_ch64,round_robin,47,600,776.7866375396233,634.2953984390963,203.9011113729068,203.34696832535195,57.57,206.81064383197162,206.8106438319716,58,0.7368421052631579,0.18295739348370926,0.5538847117794486,1.0,0.9760716854468785,0.99875,0.9606881320648822,0.8161440965147484,0.22350587822075516,13.996503496503497,20.0,20.0
both_ch64,round_robin,48,600,786.1313096884865,643.213463346491,203.88779335109072,203.1521219276305,58.108333333333334,209.18821723709692,209.1882172370969,56,0.7304204451772465,0.19167353668590273,0.5387469084913438,1.0,0.977199916941396,0.9965104166666666,0.9621388061585723,0.8235704453886764,0.24541535123181438,14.45819397993311,20.0,20.0
both_ch64,round_robin,49,600,743.3465389769656,609.534747028886,204.52447981502323,203.44503509784985,57.14333333333333,204.24762123802648,204.24762123802648,62,0.7001661129568106,0.1798172757475083,0.5203488372093024,1.0,0.9635792152779105,0.9961979166666667,0.9605412172027527,0.8417704194898897,0.2969699510654879,13.959090909090909,20.0,20.0
both_ch64,round_robin,50,600,778.7999490711376,633.0905028668507,204.39587690514787,203.56997892135223,57.11833333333333,206.81064383197162,206.8106438319716,54,0.7227478403948993,0.1958041958041958,0.5269436445907034,1.0,0.9760716854468785,0.9972395833333333,0.9617240849555653,0.8249125848268494,0.25765371610217147,14.048387096774194,20.0,20.0
both_ch64,round_robin,51,600,770.4303003527792,614.2643465911627,204.1985699279616,203.5108172499277,57.105,206.25023167241622,206.2502316724162,50,0.7252972529725297,0.1951619516195162,0.5301353013530136,1.0,0.9643777796913187,0.9981770833333333,0.9612246434653767,0.8269137044969979,0.26886327211444605,13.791935483870967,20.0,20.0
both_ch64,longest_queue_first,42,600,766.2760178948384,620.0269796452138,203.614365588828,203.09538541478318,56.95,203.16709988620016,203.16709988620022,68,0.697907949790795,0.17824267782426778,0.5196652719665272,1.0,0.932024234714449,0.9945833333333334,0.9521387036313771,0.8374985453968149,0.26650796867798054,14.168195718654435,20.0,20.0
both_ch64,longest_queue_first,43,600,759.8008368706072,608.3805913235884,204.9244656476937,204.3909639728097,57.51,207.7222767821788,207.7222767821788,60,0.7079610073111292,0.19943135662063363,0.5085296506904955,1.0,0.9484970997254591,0.9973958333333334,0.952947801024231,0.8134795002970956,0.2680332659436457,14.505311077389985,20.0,20.0
both_ch64,longest_queue_first,44,600,764.4133077715236,625.3209242928715,204.8276139974236,204.23591909495462,57.446666666666665,207.02997124134754,207.02997124134754,60,0.7060032894736842,0.18338815789473684,0.5226151315789473,1.0,0.9581014980897906,0.99703125,0.9554579169312813,0.8317280676639864,0.2982967722985539,13.851908396946564,20.0,20.0
both_ch64,longest_queue_first,45,600,787.1612102454801,637.3573785301281,204.97383603861425,204.378528834656,57.385,199.60447920687682,199.60447920687682,62,0.7023809523809523,0.18596059113300492,0.5164203612479474,1.0,0.9695453560088735,0.9971354166666667,0.953381638381508,0.8316195639302972,0.29992886977063143,13.894419306184012,20.0,20.0
both_ch64,longest_queue_first,46,600,752.7792334683929,614.7887906038486,205.1002200952885,204.61800067684695,56.35333333333333,208.44747549722445,208.44747549722442,57,0.712082262210797,0.17480719794344474,0.5372750642673522,1.0,0.9545176689239034,0.9969791666666666,0.9544818132400699,0.8278540091814852,0.2690806020868159,14.43739837398374,20.0,20.0
both_ch64,longest_queue_first,47,600,776.7866375396233,635.1676731878173,204.28582175206031,203.89314899102607,58.0,209.6011238825589,209.60112388255894,57,0.7301587301587301,0.18045112781954886,0.5497076023391813,1.0,0.9517915669435748,0.99875,0.9524750016081835,0.8186794999062823,0.22851058903506516,14.429541595925297,20.0,20.0
both_ch64,longest_queue_first,48,600,786.1313096884865,640.6184627917746,204.3359641620594,203.8540601702899,58.461666666666666,209.68727968348355,209.68727968348358,56,0.7337180544105524,0.1900247320692498,0.5436933223413025,1.0,0.9731048105827137,0.9965104166666666,0.952964811304074,0.8254421468273813,0.24360114841733457,14.59322033898305,20.0,20.0
both_ch64,longest_queue_first,49,600,743.3465389769656,609.167008933186,204.71371929970337,203.91165012478496,57.49666666666667,207.94751512514378,207.94751512514375,61,0.7084717607973422,0.1798172757475083,0.5286544850498339,1.0,0.9305947571257999,0.9961979166666667,0.9539969436714806,0.8420353530373523,0.2879862285297333,14.0795631825273,20.0,20.0
both_ch64,longest_queue_first,50,600,778.7999490711376,634.1399477532132,204.69708855413097,204.0878603864645,57.443333333333335,210.6291037558829,210.62910375588288,54,0.7231591937474291,0.19498148909913615,0.5281777046482928,1.0,0.9439771168667371,0.9972395833333333,0.9546718503708178,0.8257590533207089,0.2619452787727671,14.282714054927302,20.0,20.0
both_ch64,longest_queue_first,51,600,770.4303003527792,613.5385959246571,204.66627696861897,204.16563590943383,57.443333333333335,206.9873207034977,206.98732070349766,51,0.7269372693726938,0.1947519475194752,0.5321853218532185,1.0,0.9538247132800031,0.9981770833333333,0.953415515433563,0.8277095768209438,0.26633029245012685,14.004878048780487,20.0,20.0
both_ch64,greedy_backlog,42,600,766.2760178948384,634.8683421818861,239.54000853896244,239.3495292022196,58.3,251.23809669896926,251.23809669896923,72,0.6598326359832636,0.16317991631799164,0.49665271966527197,1.0,0.9654533559271623,0.9945833333333334,0.9713977970104711,0.8496918814591906,0.29261193506272476,15.12685560053981,20.0,20.0
both_ch64,greedy_backlog,43,600,759.8008368706072,621.8857826110817,240.72622265085764,240.6849162597632,58.48,241.46132153678167,241.46132153678167,58,0.6640942323314378,0.18359057676685622,0.48050365556458163,1.0,0.9662850169117188,0.9973958333333334,0.9717880653268768,0.8290017723425925,0.3193854287648191,15.17555266579974,20.0,20.0
both_ch64,greedy_backlog,44,600,764.4133077715236,633.6339097792305,238.7115775549263,238.50653468584053,58.27166666666667,243.56982228144912,243.56982228144906,63,0.657483552631579,0.17228618421052633,0.48519736842105265,1.0,0.9693131919978176,0.99703125,0.9702531429148875,0.8429265153188277,0.3291466707680591,14.91948051948052,20.0,20.0
both_ch64,greedy_backlog,45,600,787.1612102454801,650.8549927500568,240.3016432435194,240.05317233990726,58.11,220.73342506373208,220.73342506373208,62,0.6559934318555009,0.16954022988505746,0.48645320197044334,1.0,0.985402990684122,0.9971354166666667,0.9715381017223541,0.8435697602725576,0.3307041601836074,14.480670103092784,20.0,20.0
both_ch64,greedy_backlog,46,600,752.7792334683929,623.7324944948716,240.29892353368777,240.15890330108604,56.50833333333333,245.49722293482822,245.4972229348282,61,0.6456726649528706,0.15895458440445587,0.48671808054841476,1.0,0.9767099096762044,0.9969791666666666,0.97200512743012,0.8469328066628011,0.32862106102622163,14.933420365535248,20.0,20.0
both_ch64,greedy_backlog,47,600,776.7866375396233,653.5451941166415,240.66741060133194,240.59294664301925,58.81333333333333,238.2953713927069,238.29537139270687,58,0.6825396825396826,0.16541353383458646,0.5171261487050961,1.0,0.9747161426831968,0.99875,0.9712402730502718,0.8385951711366583,0.27488178852056006,15.155270655270655,20.0,20.0
both_ch64,greedy_backlog,48,600,786.1313096884865,652.9847974049245,240.1556426799292,240.0972069565543,59.28,235.04821383913054,235.04821383913054,58,0.6813685078318219,0.17724649629018963,0.5041220115416323,1.0,0.964962651344194,0.9965104166666666,0.9715103312508224,0.8441966511392329,0.2977984899320897,15.527272727272727,20.0,20.0
both_ch64,greedy_backlog,49,600,743.3465389769656,620.3377017948549,238.56907720637852,238.2661971312561,58.93333333333333,240.1193271704769,240.11932717047688,68,0.6648671096345515,0.16569767441860464,0.49916943521594687,1.0,0.9709940895126496,0.9961979166666667,0.9708708367973755,0.8535558769518701,0.3303710151154267,15.331529093369419,20.0,20.0
both_ch64,greedy_backlog,50,600,778.7999490711376,636.3700436051887,239.61454642395893,239.47960553630293,58.13,245.2274872599789,245.2274872599789,53,0.665158371040724,0.17935006170300288,0.4858083093377211,1.0,0.9807554496702539,0.9972395833333333,0.9704084574180446,0.8401648927531089,0.31345157090659137,15.107752956636006,20.0,20.0
both_ch64,greedy_backlog,51,600,770.4303003527792,630.5085729553052,239.49108066105197,239.37573044799475,58.513333333333335,235.52360470978945,235.52360470978942,49,0.6728167281672817,0.18081180811808117,0.4920049200492005,1.0,0.937833230300673,0.9981770833333333,0.9703913927683965,0.8442959197882975,0.3141911390271399,15.22429906542056,20.0,20.0
