scenario,strategy,avg_offered_load_mbps_mean,avg_offered_load_mbps_std,avg_accepted_load_mbps_mean,avg_accepted_load_mbps_std,avg_capacity_mbps_mean,avg_capacity_mbps_std,avg_goodput_mbps_mean,avg_goodput_mbps_std,avg_queue_mean,avg_queue_std,final_queue_mean,final_queue_std,final_blocked_rate_mean,final_blocked_rate_std,final_blocked_queue_cap_rate_mean,final_blocked_queue_cap_rate_std,final_blocked_timeout_rate_mean,final_blocked_timeout_rate_std,final_utilization_mean,final_utilization_std,final_fairness_mean,final_fairness_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_mean_timeout_delay_s_mean,final_mean_timeout_delay_s_std
both_int3,proportional_fair,768.5925341879835,14.199621615207821,624.0689858154208,12.598497115628767,177.59182494967985,0.4294761243622003,177.46623057293644,0.4809660996847156,59.20399999999999,0.5703725228434611,60.6,4.903513479582209,0.7470889915642313,0.010582422705610172,0.18672080985966727,0.00810127669465799,0.560368181704564,0.011237132690276087,1.0,0.0,0.8173481759745173,0.05436103938347145,0.8274182757818392,0.007853829671557086,0.23469450747856296,0.01873067294233397,15.233060214126604,0.23615897767796012,20.0,0.0,20.0,0.0
both_int3,round_robin,768.5925341879835,14.199621615207821,618.0746287585863,11.772749898646008,173.5375763581406,0.34847352080194105,172.9916879183385,0.3262854534381244,57.89816666666667,0.5319289669927053,59.5,5.400617248673217,0.7523967164917698,0.01134810980047265,0.1926827420856738,0.008567982236152773,0.559713974406096,0.012270129587452413,1.0,0.0,0.9654119653023979,0.010188051008582355,0.8206597903881898,0.009106762480997904,0.22875434113390222,0.020594812246171476,14.167571376728352,0.3372689825916324,20.0,0.0,20.0,0.0
both_int6,greedy_backlog,768.5925341879835,14.199621615207821,629.5212462151247,11.02266855552486,182.73131573012,0.5364992991845922,182.6363026364175,0.5667071712830355,59.989999999999995,0.6602744472407001,62.9,4.532597979574678,0.7367933128423514,0.00797955649500987,0.1786914393317965,0.007707739702031849,0.5581018735105548,0.008706506770477225,1.0,0.0,0.9826516065606598,0.006289575706786866,0.8355275920538199,0.006423605611411383,0.24105631447475745,0.01610942196746112,15.623671175277602,0.25999060770495425,20.0,0.0,20.0,0.0
both_int6,longest_queue_first,768.5925341879835,14.199621615207821,614.5985224830727,10.854502514038813,133.40276557230004,0.4167094614509635,133.1817682316857,0.4286571247588159,59.327,0.5814943499401739,60.6,5.521674464226308,0.8054792117626363,0.010479187842642141,0.1981893607475791,0.008493991834515033,0.6072898510150572,0.011427977734826823,1.0,0.0,0.9314035781018173,0.015319334024624194,0.8153995731513428,0.010087212959004948,0.1766029467149643,0.018405680895302756,14.747881468373581,0.3045689787537939,20.0,0.0,20.0,0.0
both_int6,proportional_fair,768.5925341879835,14.199621615207821,617.5085284444211,12.657322930710874,138.54061047030163,0.5636164531558102,138.45333528134523,0.607301380233979,59.92100000000001,0.6274252697619064,62.0,4.853406592853679,0.7976433166569494,0.010136392289168605,0.19413517620521809,0.008060337026935798,0.6035081404517314,0.011184924577419784,1.0,0.0,0.8201922565172504,0.05493356046531494,0.8204006427824646,0.00887616764557786,0.18266413047842495,0.016335514549851785,15.408532144980322,0.22862088171202913,20.0,0.0,20.0,0.0
both_int6,round_robin,768.5925341879835,14.199621615207821,613.3277686430464,11.459802994867564,132.98663772130016,0.4284046627620294,132.66602730542877,0.4191579453425387,59.01583333333333,0.5375551938357147,60.6,5.929212051829108,0.8055788486919173,0.010257958868465552,0.19930991121132327,0.008396929664664089,0.6062689374805942,0.011886174698334964,1.0,0.0,0.9579418866327926,0.014339758893952092,0.8141272783625972,0.010038050892803591,0.17626105704299572,0.018056965487493318,14.42141584539749,0.3761490481841373,20.0,0.0,20.0,0.0
both_q10_t20,greedy_backlog,768.5925341879835,14.199621615207821,764.3644469606922,13.635570152948386,192.74306005493463,0.5666663799903306,192.6314654475966,0.6105049357104239,74.15783333333334,1.2586770563169756,78.0,6.8150161000869565,0.720491122730061,0.009184373474348362,0.006033292346277951,0.0027084708970052094,0.7144578303837832,0.008927508233814484,1.0,0.0,0.9842572877876835,0.009438446232423299,0.9949864293216851,0.0023525499479472786,0.2509166917908535,0.018785627322649105,16.356601465236633,0.21145375200823127,20.0,0.0,20.0,0.0
both_q10_t20,longest_queue_first,768.5925341879835,14.199621615207821,762.7934076670596,13.633205424931596,153.13008310640205,0.25507224875059836,152.88112253067158,0.26139405623403117,74.22133333333333,1.1302656740019876,77.4,7.214183560490019,0.7734767354004485,0.012189197511374955,0.007650027883583257,0.003042233762481333,0.7658267075168652,0.011413267531557449,1.0,0.0,0.9345130908519632,0.010040177717237234,0.9930389035018138,0.002665461396031306,0.20078349736116802,0.02158654305446848,15.331697514251193,0.2720086771114278,20.0,0.0,20.0,0.0
both_q10_t20,proportional_fair,768.5925341879835,14.199621615207821,763.6944758214325,13.826345672804676,159.343871377953,0.5751800288778249,159.25246850012337,0.6099072263603017,74.81683333333334,1.229518235973991,78.4,7.411702458499892,0.7671467127249743,0.009236374418057861,0.006658973747612387,0.002774521114820886,0.7604877389773619,0.007966322492596411,1.0,0.0,0.7691490096396598,0.05791111130358817,0.9941899633762468,0.0023597109230729055,0.20706126064655156,0.01822316689131278,16.157332418225764,0.26239180469666484,20.0,0.0,20.0,0.0
both_q10_t20,round_robin,768.5925341879835,14.199621615207821,762.7685178948083,13.609767139859093,152.45310891898927,0.29650643716491654,152.0844097811824,0.2691308498564602,73.95899999999999,1.1127341479215143,77.3,7.3794007585681065,0.7755189038810355,0.011268553595696333,0.007815123054077071,0.0031317994605621277,0.7677037808269584,0.010715859969186503,1.0,0.0,0.9599185613274581,0.011971511084507875,0.9929069244273251,0.0027702624587200163,0.1994243070730873,0.019453705353101775,14.953399712336914,0.3812013110169015,20.0,0.0,20.0,0.0
