scenario,strategy,avg_goodput_mbps_mean,avg_goodput_mbps_std,final_blocked_rate_mean,final_blocked_rate_std,avg_acceptance_rate_mean,avg_acceptance_rate_std,avg_service_rate_mean,avg_service_rate_std,final_mean_served_delay_s_mean,final_mean_served_delay_s_std,final_p95_served_delay_s_mean,final_p95_served_delay_s_std,final_fairness_mean,final_fairness_std,final_queue_mean,final_queue_std
both_q5_t10,ppo_v4,165.5411510460445,0.7487438066134368,0.7750167491361071,0.0109082785090629,0.9661082233915076,0.0058415301413664,0.2181539962963277,0.0199733148052227,6.758710985468288,0.1346738293486503,10.0,0.0,0.6876019855190094,0.0581769995082276,33.8,5.513619500836089
both_q5_t10,greedy_backlog,191.8544192845929,0.6654709673449208,0.7409769936381523,0.0097826692895619,0.9693250236293018,0.0062772930176387,0.2500736026656609,0.0213405357337994,7.43583290695648,0.1275952407230746,10.0,0.0,0.9803869808679364,0.0107314398671066,33.8,5.902918298980975
both_q5_t10,longest_queue_first,160.85471221799736,0.5353274020937417,0.7830264263061487,0.0142702566029138,0.964951141412645,0.00566736588452,0.2091215725970009,0.0246599587348754,6.731630426600726,0.113600194160801,10.0,0.0,0.960406694152977,0.019901300983494,33.9,5.915140648276157
both_q5_t10,round_robin,160.45144014870942,0.5241995408737142,0.7833953311986208,0.0128797976537259,0.964713758171813,0.0057616840433337,0.2086052199172464,0.0232540388898088,6.624948625784429,0.1365066570702303,10.0,0.0,0.967565294995996,0.0152833727378141,33.6,5.89161362540952
both_q5_t40,round_robin,150.46919133482945,0.3517576749483072,0.775576660883804,0.0099962273479152,0.5884059894804263,0.0103168965556393,0.2015937317536842,0.018451636656297,29.040719804269475,0.7467404505809289,40.0,0.0,0.9478301282734836,0.010318623499454,75.8,5.71158666416104
both_q5_t40,proportional_fair,152.22216452599463,0.4563626696529866,0.7721538034551939,0.0108413170469175,0.5923811845819744,0.0091754292855374,0.2048218168895542,0.0172206383175955,30.11271959267884,0.5688644931456301,40.0,0.0,0.914909393735004,0.0319581513738951,78.1,4.998888765404656
both_q5_t40,longest_queue_first,151.14366813672768,0.3046296683914286,0.7745125571685627,0.0116251209411361,0.5900162075598975,0.0102195750571807,0.2024758806329008,0.0195948808089139,29.630287711640182,0.7103015159712401,40.0,0.0,0.9338578485001192,0.0151540605598479,78.3,5.696977756280567
both_q5_t40,ppo_v4,153.65467511360427,1.634648245570164,0.7726323150251102,0.01004968823117,0.5963867739397742,0.0106673570367004,0.2038062518665725,0.0161920776137498,27.35493513755792,0.8296387376811898,39.7,0.4830458915396479,0.6507186502659218,0.0283645671669024,74.6,5.316640543300504
both_q5_t40,greedy_backlog,189.99841990589007,0.4374624843662813,0.723642193373945,0.0096454952000032,0.6135377035715598,0.0087053045701829,0.249164376757469,0.0130116671916694,30.186492126145065,0.4429308409890242,39.8,0.4216370213557833,0.978410904695152,0.0122867937590111,78.8,4.049691346263316
both_q10_t20,proportional_fair,159.25246850012337,0.6099072263603017,0.7671467127249743,0.0092363744180578,0.9941899633762468,0.0023597109230729,0.2070612606465515,0.0182231668913127,16.157332418225764,0.2623918046966648,20.0,0.0,0.7691490096396598,0.0579111113035881,78.4,7.411702458499892
