scenario,strategy,seed,samples,avg_offered_load_mbps,avg_accepted_load_mbps,avg_capacity_mbps,avg_goodput_mbps,avg_queue,final_capacity_mbps,final_goodput_mbps,final_queue,final_blocked_rate,final_blocked_queue_cap_rate,final_blocked_timeout_rate,final_utilization,final_fairness,avg_utilization,avg_fairness,avg_acceptance_rate,avg_service_rate,final_mean_served_delay_s,final_p95_served_delay_s,final_mean_timeout_delay_s
baseline_queue_cap,greedy_backlog,50,600,778.7999490711376,669.1922310588286,191.03664873549033,190.92315497915104,889.8566666666667,192.85914272562943,192.8591427256294,1511,0.134923899629782,0.134923899629782,0.0,1.0,0.9881642358623273,0.9983333333333333,0.9825545117846811,0.9878651157368485,0.23813738376680124,223.05236486486487,426.0,0.0
baseline_queue_cap,greedy_backlog,51,600,770.4303003527792,676.1753077997778,191.00291596503365,190.9701569119877,883.515,177.70944364933132,177.7094436493313,1510,0.12464124641246413,0.12464124641246413,0.0,1.0,0.9534477342341975,0.9989583333333333,0.9837152881647533,0.9880586202212803,0.25305220031021175,217.0976,413.0,0.0
baseline_timeout,proportional_fair,42,600,766.2760178948384,766.2760178948384,158.66219073449093,158.53018879459682,74.2,156.817731252527,156.817731252527,91,0.7627615062761506,0.0,0.7627615062761506,1.0,0.8295172514012961,0.99625,0.7749356146917734,1.0,0.19433340678118366,15.949579831932773,20.0,20.0
baseline_timeout,proportional_fair,43,600,759.8008368706072,759.8008368706072,159.87062721815093,159.85515347561392,77.03833333333333,159.41836329939568,159.41836329939565,72,0.7632006498781478,0.0,0.7632006498781478,1.0,0.8007890574549786,0.9985416666666667,0.7632307287492249,1.0,0.20742299814557444,16.555772994129157,20.0,20.0
baseline_timeout,proportional_fair,44,600,764.4133077715236,764.4133077715236,158.86432529247384,158.70300917136248,75.63,163.00145969088325,163.0014596908832,78,0.7623355263157895,0.0,0.7623355263157895,1.0,0.7456812761758593,0.9989583333333333,0.7830010048195903,1.0,0.22083950100802038,15.922,20.0,20.0
baseline_timeout,proportional_fair,45,600,787.1612102454801,787.1612102454801,160.53483220868998,160.44455110265415,75.65333333333334,150.5134795340096,150.5134795340096,80,0.7549261083743842,0.0,0.7549261083743842,1.0,0.8267980234238991,0.9985416666666667,0.7747649510799869,1.0,0.2284968184991155,15.920696324951644,20.0,20.0
baseline_timeout,proportional_fair,46,600,752.7792334683929,752.7792334683929,159.37792321906036,159.3288098254621,72.605,158.01835589553636,158.0183558955364,65,0.766923736075407,0.0,0.766923736075407,1.0,0.7996487085693191,0.9985416666666667,0.7719073286164551,1.0,0.21060272064904148,16.07098121085595,20.0,20.0
baseline_timeout,proportional_fair,47,600,776.7866375396233,776.7866375396233,159.70006354430313,159.62442167213229,74.99333333333334,160.6987731592333,160.6987731592333,77,0.7769423558897243,0.0,0.7769423558897243,1.0,0.7306199899548736,0.9995833333333334,0.7678854268847818,1.0,0.1784950737062903,16.295404814004378,20.0,20.0
baseline_timeout,proportional_fair,48,600,786.1313096884865,786.1313096884865,159.08342675868337,159.04841962761606,76.69166666666666,160.09230684643376,160.09230684643376,74,0.7856553998351196,0.0,0.7856553998351196,1.0,0.7928503860945426,0.9975,0.7711122013756068,1.0,0.18099189524366013,16.699551569506728,20.0,20.0
baseline_timeout,proportional_fair,49,600,743.3465389769656,743.3465389769656,158.8612811805872,158.63336099318175,74.88833333333334,153.64510675801935,153.64510675801935,86,0.7574750830564784,0.0,0.7574750830564784,1.0,0.8048440553114116,0.99875,0.7905268321254938,1.0,0.23166656310771866,16.120481927710845,20.0,20.0
baseline_timeout,proportional_fair,50,600,778.7999490711376,778.7999490711376,159.58466872781167,159.50484748690735,75.96833333333333,161.23809789600003,161.23809789600003,84,0.7688194158782394,0.0,0.7688194158782394,1.0,0.7090927603526307,0.9983333333333333,0.7691995711670458,1.0,0.20687655324421061,16.253138075313807,20.0,20.0
baseline_timeout,proportional_fair,51,600,770.4303003527792,770.4303003527792,159.4569314424203,159.40909887516574,76.07333333333334,162.17039100210957,162.17039100210962,77,0.7703977039770398,0.0,0.7703977039770398,1.0,0.6516485876577878,0.9989583333333333,0.7606390846271892,1.0,0.21174463078677025,16.091097308488614,20.0,20.0
baseline_timeout,round_robin,42,600,766.2760178948384,766.2760178948384,151.90982995142554,151.50250018369653,73.24,150.42533021983195,150.42533021983198,92,0.7627615062761506,0.0,0.7627615062761506,1.0,0.9429411864269189,0.99625,0.9472748973268282,1.0,0.19302456840979354,14.726315789473684,20.0,20.0
baseline_timeout,round_robin,43,600,759.8008368706072,759.8008368706072,152.42650621412668,152.17763060319575,76.28,153.57053018346738,153.5705301834674,72,0.7725426482534524,0.0,0.7725426482534524,1.0,0.9647761146471019,0.9985416666666667,0.9470529901558101,1.0,0.20438792059100705,15.405737704918034,20.0,20.0
baseline_timeout,round_robin,44,600,764.4133077715236,764.4133077715236,152.78154352209043,152.3067913369856,74.47666666666667,153.8588202669597,153.8588202669597,77,0.7660361842105263,0.0,0.7660361842105263,1.0,0.9663380829026595,0.9989583333333333,0.94829144189083,1.0,0.2237462603259006,14.414634146341463,20.0,20.0
baseline_timeout,round_robin,45,600,787.1612102454801,787.1612102454801,152.66463754993484,152.2227796991691,74.88666666666667,150.42533021983195,150.42533021983198,81,0.7680623973727422,0.0,0.7680623973727422,1.0,0.9429411864269189,0.9985416666666667,0.947097546881343,1.0,0.21876471433676892,14.640495867768594,20.0,20.0
baseline_timeout,round_robin,46,600,752.7792334683929,752.7792334683929,152.69990395661935,152.4553039671822,72.395,154.13935281749914,154.13935281749914,66,0.7802056555269923,0.0,0.7802056555269923,1.0,0.9684337084168231,0.9985416666666667,0.9481302104587729,1.0,0.19660391903913055,15.440715883668904,20.0,20.0
baseline_timeout,round_robin,47,600,776.7866375396233,776.7866375396233,152.26462010052626,152.018547632686,74.305,154.42363689027405,154.42363689027405,75,0.7878028404344194,0.0,0.7878028404344194,1.0,0.9719181052539838,0.9995833333333334,0.9462701997148468,1.0,0.17146925913872912,15.041570438799075,20.0,20.0
baseline_timeout,round_robin,48,600,786.1313096884865,786.1313096884865,152.22922661197882,151.86797127614514,75.94833333333334,157.02827692756216,157.02827692756216,72,0.7984336356141797,0.0,0.7984336356141797,1.0,0.9700817157946467,0.9975,0.9472523074441961,1.0,0.16669774603178172,15.316546762589928,20.0,20.0
baseline_timeout,round_robin,49,600,743.3465389769656,743.3465389769656,152.84467413972558,152.24117887969405,73.96,152.06922473013165,152.06922473013165,83,0.7649501661129569,0.0,0.7649501661129569,1.0,0.9640382123315073,0.99875,0.947350820076332,1.0,0.22553934382032537,14.766045548654244,20.0,20.0
baseline_timeout,round_robin,50,600,778.7999490711376,778.7999490711376,152.25484024877528,151.94044877054884,75.25,150.42533021983195,150.42533021983198,82,0.7704648292883587,0.0,0.7704648292883587,1.0,0.9429411864269189,0.9983333333333333,0.9467061789797229,1.0,0.20072378947496017,15.313025210084033,20.0,20.0
baseline_timeout,round_robin,51,600,770.4303003527792,770.4303003527792,152.45077090334445,152.10640947117494,75.205,153.57053018346738,153.5705301834674,74,0.7822878228782287,0.0,0.7822878228782287,1.0,0.9647761146471019,0.9989583333333333,0.9464751839445855,1.0,0.19615179691571757,14.603938730853391,20.0,20.0
baseline_timeout,longest_queue_first,42,600,766.2760178948384,766.2760178948384,152.6245296151182,152.3180081725737,73.52166666666666,151.98940548563883,151.98940548563883,92,0.7644351464435146,0.0,0.7644351464435146,1.0,0.9224672915152777,0.99625,0.9350766037528355,1.0,0.19463663478010929,15.031847133757962,20.0,20.0
baseline_timeout,longest_queue_first,43,600,759.8008368706072,759.8008368706072,153.19888330996037,152.99978588635454,76.505,155.85887871227277,155.8588787122728,72,0.7717303005686433,0.0,0.7717303005686433,1.0,0.9381993443753402,0.9985416666666667,0.9336927331883794,1.0,0.2020236948309405,15.704081632653061,20.0,20.0
baseline_timeout,longest_queue_first,44,600,764.4133077715236,764.4133077715236,153.33300746167538,152.99098764024754,74.85166666666667,156.3979189660809,156.3979189660809,77,0.7619243421052632,0.0,0.7619243421052632,1.0,0.9383015196488824,0.9989583333333333,0.9376182760040394,1.0,0.22353961162159497,14.99402390438247,20.0,20.0
baseline_timeout,longest_queue_first,45,600,787.1612102454801,787.1612102454801,153.3672428043444,153.04173256274035,75.14,150.7840098575307,150.7840098575307,80,0.7610837438423645,0.0,0.7610837438423645,1.0,0.935401189738023,0.9985416666666667,0.9354685650161841,1.0,0.2262518938048658,15.155378486055778,20.0,20.0
baseline_timeout,longest_queue_first,46,600,752.7792334683929,752.7792334683929,153.46969689205835,153.29137197162518,72.475,156.35958898975602,156.35958898975605,66,0.7832047986289632,0.0,0.7832047986289632,1.0,0.9454216427607078,0.9985416666666667,0.9379166812471333,1.0,0.193073080225581,15.445454545454545,20.0,20.0
