time,offered_load_mbps,accepted_load_mbps,capacity_sum_mbps,goodput_sum_mbps,served_step_mb,queue_sum,blocked_rate,blocked_queue_cap_rate,blocked_timeout_rate,utilization,fairness
143.0,1085.6189929661093,775.168875402569,154.12685226807406,154.12685226807403,19.265856533509254,65,0.7033898305084746,0.17288135593220338,0.5305084745762711,1.0,0.9552951590453693
144.0,793.6150932064102,499.15542807142754,150.59872573000825,150.59872573000825,18.824840716251032,64,0.7080536912751678,0.17281879194630873,0.535234899328859,1.0,0.9405990728539751
145.0,695.5077668385032,695.5077668385032,150.19623300818748,150.19623300818748,18.774529126023435,62,0.711892797319933,0.17252931323283083,0.5393634840871022,1.0,0.9506206381038301
146.0,857.3858119196882,325.76604705898444,151.71584284103452,151.7158428410345,18.96448035512931,62,0.7126245847176079,0.1744186046511628,0.5382059800664452,1.0,0.9270447033669909
147.0,704.4441572669759,164.8600844783896,150.03902186375842,150.0390218637584,18.7548777329698,60,0.715702479338843,0.17520661157024794,0.540495867768595,1.0,0.9505665865860612
148.0,838.885653892054,838.885653892054,149.91390367911745,149.91390367911745,18.73923795988968,61,0.7152209492635024,0.1734860883797054,0.5417348608837971,1.0,0.9457006261873905
149.0,512.7456854946905,70.32202732909641,150.84241276902455,150.84241276902452,18.855301596128065,58,0.7177814029363785,0.17455138662316477,0.5432300163132137,1.0,0.9386196689321021
150.0,1551.8455489006824,1551.8455489006824,148.73423507998962,148.73423507998962,18.591779384998702,60,0.7152103559870551,0.17313915857605178,0.5420711974110033,1.0,0.9580549353598032
151.0,1448.723449345369,1357.7776075840884,150.78526699050633,150.78526699050633,18.84815837381329,58,0.7181964573268921,0.17391304347826086,0.5442834138486312,1.0,0.9365796231453494
152.0,897.8057680111963,897.8057680111963,149.36950724298148,149.36950724298148,18.671188405372686,60,0.7168,0.1728,0.544,1.0,0.9478879889931396
153.0,717.7094789303403,717.7094789303403,148.70566700135572,148.70566700135572,18.588208375169465,63,0.7111111111111111,0.17142857142857143,0.5396825396825397,1.0,0.9586888219286445
154.0,161.43001961259785,109.38452808892777,149.35569396533296,149.35569396533296,18.66946174566662,62,0.7136075949367089,0.17246835443037975,0.5411392405063291,1.0,0.9506633005504591
155.0,723.7236733911925,723.7236733911925,148.77790764656433,148.77790764656433,18.59723845582054,66,0.7095761381475667,0.17111459968602827,0.5384615384615384,1.0,0.9575810224910869
156.0,2355.62216883276,2355.62216883276,150.79394993534146,150.79394993534146,18.849243741917682,64,0.7147286821705426,0.16899224806201552,0.5457364341085271,1.0,0.9317977852699987
157.0,1011.4860838959177,322.11197217830386,149.6873891500031,149.68738915000313,18.71092364375039,58,0.7226502311248074,0.17257318952234207,0.5500770416024653,1.0,0.9472343805677378
158.0,921.9360595560811,521.7133366101534,151.2023830411988,151.2023830411988,18.90029788014985,61,0.7201834862385321,0.172782874617737,0.5474006116207951,1.0,0.9279044098161601
159.0,799.2563741856917,799.2563741856917,149.83697404230395,149.83697404230395,18.729621755287994,62,0.7184170471841704,0.1719939117199391,0.5464231354642314,1.0,0.9441706528561405
160.0,550.692997042943,550.692997042943,149.7703607636244,149.77036076362438,18.721295095453048,64,0.716236722306525,0.17147192716236723,0.5447647951441578,1.0,0.9439293079175992
161.0,508.0283193563681,508.0283193563681,149.70273933092062,149.70273933092062,18.712842416365078,63,0.7181818181818181,0.1712121212121212,0.546969696969697,1.0,0.943923444022725
162.0,520.3709032723834,520.3709032723834,149.97134611566338,149.97134611566338,18.746418264457922,62,0.7205438066465257,0.17069486404833836,0.5498489425981873,1.0,0.9409967274021118
163.0,744.1572296508341,347.49040556325576,152.42323444066503,152.42323444066506,19.052904305083132,63,0.7215568862275449,0.1721556886227545,0.5494011976047904,1.0,0.9576790078486869
164.0,1427.8734254172946,760.3483824883525,153.10122555043196,153.10122555043196,19.137653193803995,61,0.7255192878338279,0.17359050445103857,0.5519287833827893,1.0,0.948438431938529
165.0,377.0342142587148,377.0342142587148,152.47095878383362,152.47095878383365,19.058869847979206,61,0.7248520710059172,0.17307692307692307,0.5517751479289941,1.0,0.9542498203654751
166.0,857.4475075569235,280.2702510666924,151.8595350492374,151.8595350492374,18.982441881154674,60,0.727540500736377,0.17378497790868924,0.5537555228276878,1.0,0.9608583223963914
167.0,366.58955181837916,366.58955181837916,152.0989868484233,152.09898684842332,19.012373356052915,60,0.7268722466960352,0.17327459618208516,0.55359765051395,1.0,0.9554138416692466
168.0,1598.726729009414,653.6440869977857,156.92299211109287,156.92299211109287,19.61537401388661,61,0.7293777134587555,0.17655571635311143,0.552821997105644,1.0,0.9678486551795897
169.0,138.43028982781846,138.43028982781846,158.18199980406987,158.1819998040699,19.772749975508738,62,0.7272727272727273,0.17604617604617603,0.5512265512265512,1.0,0.95249110244203
170.0,1056.5373402311461,268.749338991502,153.37297439905305,153.37297439905305,19.17162179988163,61,0.7310443490701002,0.17739628040057226,0.5536480686695279,1.0,0.9450867569801624
171.0,598.7654409942472,530.1630696569691,153.57050936461226,153.5705093646123,19.196313670576536,61,0.7311522048364154,0.17780938833570412,0.5533428165007113,1.0,0.9415319135116075
172.0,104.25434692980113,104.25434692980113,150.57997482875928,147.85122405599992,18.48140300699999,58,0.7347517730496453,0.1773049645390071,0.5574468085106383,1.0,0.971233849848181
173.0,626.677881869808,626.677881869808,153.69434747270805,153.69434747270805,19.211793434088506,54,0.7358757062146892,0.1765536723163842,0.559322033898305,1.0,0.9314218187237171
